,id,name_x,Марка :,Применение:,Дополнение:,Cu,Al,C,Ni,Si,Cr,Mn,Zn,Ti,Fe,Заменитель:,Mo,Mg,V,Классификация :,type_x,Pb,Примесей,-,W,Sn,Co,Ag,Nb,P,Zr,Sb,S,Cd,B,Pt,Ni+Co,Au,Pd,Bi,N,As,O,Ca,Be,Rh,sв,d5,Ir,Ce,Te,sT,Tl,y,Se,H,Na,Ta,Hg,In,Ru,Ga,KCU,Ba,Nd,Li,Al+Mg,Cl,La,РЗМ,Sr,Re,Cu+P,Sc,Hf,F
297,1998,FeT40A18,FeT40A18,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,,до 8,до 0.1,,до 5,,до 1.5,,35 - 50,,,,,,Ферротитан,Ферротитан,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,2000,FeT70,FeT70,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,,до 0.5,до 0.2,,до 0.1,,до 0.2,,65 - 75,,,,,до 0.5,Ферротитан,Ферротитан,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2001,FeT70A112,FeT70A112,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,,до 2,до 0.2,,до 0.25,,до 1,,65 - 75,,,,,до 1.5,Ферротитан,Ферротитан,,,,,,,,,до 0.04,,,до 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2002,FeT70A15,FeT70A15,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,,до 5,до 0.3,,до 0.5,,до 1,,65 - 75,,,,,,Ферротитан,Ферротитан,,,,,,,,,до 0.05,,,до 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2011,ФТи25,ФТи25,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,,5 - 25,до 1,,5 - 30,,,,20 - 30,,,,,,Ферротитан,Ферротитан,,,,,,,,,до 0.08,,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,2010,ФТи30,ФТи30,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,до 0.4,до 8,до 0.12,,до 4,,,,28 - 37,,,до 0.4,,до 0.8,Ферротитан,Ферротитан,,,,,до 0.01,,,,до 0.04,до 0.2,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2007,ФТи35С5,ФТи35С5,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,до 2,до 8,до 0.2,,до 5,,,,28 - 40,,,до 0.2,,до 0.4,Ферротитан,Ферротитан,,,,,до 0.04,,,,до 0.04,до 0.2,,до 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,2008,ФТи35С7,ФТи35С7,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,до 2,до 9,до 0.2,,до 7,,,,28 - 40,,,до 0.5,,до 0.8,Ферротитан,Ферротитан,,,,,до 0.05,,,,до 0.07,до 0.2,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2009,ФТи35С8,ФТи35С8,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,до 3,до 14,до 0.2,,до 8,,,,28 - 40,,,до 1,,до 1,Ферротитан,Ферротитан,,,,,до 0.08,,,,до 0.07,до 0.7,,до 0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2003,ФТи70С05,ФТи70С05,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,до 0.2,до 5,до 0.2,,до 0.5,,,,68 - 75,,,до 0.6,,до 0.6,Ферротитан,Ферротитан,,,,,до 0.1,,,,до 0.05,до 0.6,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2005,ФТи70С05Сн03,ФТи70С05Сн03,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,до 0.3,до 5,до 0.3,,до 0.5,,,,65 - 75,,,до 2.5,,до 2.5,Ферротитан,Ферротитан,,,,,до 0.3,,,,до 0.03,до 1,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2006,ФТи70С1,ФТи70С1,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,до 0.4,до 5,до 0.4,,до 1,,,,65 - 75,,,до 2.5,,до 3,Ферротитан,Ферротитан,,,,,до 0.15,,,,до 0.05,до 2,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2305,FeCr50C01,FeCr50C01,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c повышенным содержанием фосфора,,,до 0.015,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2323,FeCr50C01LP,FeCr50C01LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c низким содержанием фосфора,,,до 0.015,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2308,FeCr50C03,FeCr50C03,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c повышенным содержанием фосфора,,,0.015 - 0.03,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2326,FeCr50C03LP,FeCr50C03LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c низким содержанием фосфора,,,0.015 - 0.03,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2311,FeCr50C05,FeCr50C05,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c повышенным содержанием фосфора,,,0.03 - 0.05,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2329,FeCr50C05LP,FeCr50C05LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c низким содержанием фосфора,,,0.03 - 0.05,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2004,ФТи70С08,ФТи70С08,Применяется в сталеплавильной и литейной промышленности для раскисления и легирования сталей и сплавов.,,до 0.3,до 4,до 0.3,,до 0.8,до 0.8,до 0.8,,68 - 75,,,до 2,,до 1.8,Ферротитан,Ферротитан,,,,,до 0.15,,,,до 0.03,до 1.5,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2314,FeCr50C1,FeCr50C1,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c повышенным содержанием фосфора,,,0.05 - 0.1,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2287,FeCr50C10,FeCr50C10,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром среднеуглеродистый c повышенным содержанием фосфора,,,0.5 - 1,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2296,FeCr50C10LP,FeCr50C10LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром среднеуглеродистый c низким содержанием фосфора,,,0.5 - 1,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2332,FeCr50C1LP,FeCr50C1LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c низким содержанием фосфора,,,0.05 - 0.1,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2347,FeCr50C1N3,FeCr50C1N3,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,"Феррохром низкоуглеродистый плавленный, содержащий азот",,,до 0.1,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.025,,,,,,,,2 - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2350,FeCr50C1N7,FeCr50C1N7,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,"Феррохром низкоуглеродистый спеченный, содержащий азот",,,до 0.1,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.025,,,,,,,,4 - 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2353,FeCr50C1N7Si,FeCr50C1N7Si,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,"Феррохром низкоуглеродистый спеченный, содержащий азот",,,до 0.1,,min 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.025,,,,,,,,4 - 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2317,FeCr50C2,FeCr50C2,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c повышенным содержанием фосфора,,,0.1 - 0.25,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2290,FeCr50C20,FeCr50C20,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром среднеуглеродистый c повышенным содержанием фосфора,,,1 - 2,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2299,FeCr50C20LP,FeCr50C20LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром среднеуглеродистый c низким содержанием фосфора,,,1 - 2,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2335,FeCr50C2LP,FeCr50C2LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c низким содержанием фосфора,,,0.1 - 0.25,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2293,FeCr50C40,FeCr50C40,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром среднеуглеродистый c повышенным содержанием фосфора,,,2 - 4,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2302,FeCr50C40LP,FeCr50C40LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром среднеуглеродистый c низким содержанием фосфора,,,2 - 4,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2320,FeCr50C5,FeCr50C5,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c повышенным содержанием фосфора,,,0.1 - 0.25,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2167,FeCr50C50,FeCr50C50,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,4 - 6,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2227,FeCr50C50LP,FeCr50C50LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,4 - 6,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2170,FeCr50C50LS,FeCr50C50LS,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,4 - 6,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2230,FeCr50C50LSLP,FeCr50C50LSLP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,4 - 6,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2173,FeCr50C50Si2,FeCr50C50Si2,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,4 - 6,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2233,FeCr50C50Si2LP,FeCr50C50Si2LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,4 - 6,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2176,FeCr50C50Si2LS,FeCr50C50Si2LS,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,4 - 6,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2236,FeCr50C50Si2LSLP,FeCr50C50Si2LSLP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,4 - 6,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2179,FeCr50C50Si4,FeCr50C50Si4,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,4 - 6,,3 - 5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2239,FeCr50C50Si4LP,FeCr50C50Si4LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,4 - 6,,3 - 5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2182,FeCr50C50Si4LS,FeCr50C50Si4LS,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,4 - 6,,3 - 5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2242,FeCr50C50Si4LSLP,FeCr50C50Si4LSLP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,4 - 6,,3 - 5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,2185,FeCr50C50Si7,FeCr50C50Si7,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,4 - 6,,5 - 10,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,2245,FeCr50C50Si7LP,FeCr50C50Si7LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,4 - 6,,5 - 10,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2338,FeCr50C5LP,FeCr50C5LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром низкоуглеродистый c низким содержанием фосфора,,,0.25 - 0.5,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.03,,,,,,,,до 0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2188,FeCr50C70,FeCr50C70,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,6 - 8,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,2191,FeCr50C70LS,FeCr50C70LS,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,6 - 8,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2248,FeCr50C70LP,FeCr50C70LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,6 - 8,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,2194,FeCr50C70Si2,FeCr50C70Si2,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,6 - 8,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2251,FeCr50C70LSLP,FeCr50C70LSLP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,6 - 8,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2254,FeCr50C70Si2LP,FeCr50C70Si2LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,6 - 8,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,2197,FeCr50C70Si2LS,FeCr50C70Si2LS,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,6 - 8,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,2257,FeCr50C70Si2LSLP,FeCr50C70Si2LSLP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,6 - 8,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,2200,FeCr50C70Si4,FeCr50C70Si4,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,6 - 8,,3 - 5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,2260,FeCr50C70Si4LP,FeCr50C70Si4LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,6 - 8,,3 - 5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,2203,FeCr50C70Si4LS,FeCr50C70Si4LS,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,6 - 8,,3 - 5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,2263,FeCr50C70Si4LSLP,FeCr50C70Si4LSLP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,6 - 8,,3 - 5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2206,FeCr50C70Si6,FeCr50C70Si6,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,6 - 8,,5 - 8,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,2266,FeCr50C70Si6LP,FeCr50C70Si6LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,6 - 8,,5 - 8,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,2209,FeCr50C90,FeCr50C90,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,8 - 10,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,2269,FeCr50C90LP,FeCr50C90LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,8 - 10,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,2212,FeCr50C90LS,FeCr50C90LS,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,8 - 10,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,2272,FeCr50C90LSLP,FeCr50C90LSLP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,8 - 10,,до 1.5,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,2215,FeCr50C90Si2,FeCr50C90Si2,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,8 - 10,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,2275,FeCr50C90Si2LP,FeCr50C90Si2LP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,8 - 10,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2218,FeCr50C90Si2LS,FeCr50C90Si2LS,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c повышенным содержанием фосфора,,,8 - 10,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.05,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,2278,FeCr50C90Si2LSLP,FeCr50C90Si2LSLP,Применяется в сталеплавильной и литейной промышленности для легирования сталей и сплавов.,Феррохром высокоуглеродистый c низким содержанием фосфора,,,8 - 10,,1.5 - 3,45 - 55,,,,,,,,,Феррохром,Феррохром,,,,,,,,,до 0.03,,,до 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
